d_um,mse_percent_squared,relative_to_best_mse,nuisance_optimisation_success
6.950452153256163,0.9531815916228026,1.0428948434739,True
6.987952153256162,0.9077526070642041,0.9455297253110411,True
7.025452153256163,0.8603928901567661,0.844026588543713,True
7.0629521532561625,0.8112573982647339,0.7387175436565887,True
7.100452153256163,0.7608357553523339,0.6306519712509624,True
7.137952153256163,0.7098336734966952,0.5213423801457353,True
7.175452153256163,0.6592335496659579,0.41289428068447287,True
7.212952153256163,0.610428630045537,0.30829373079453015,True
7.2504521532561625,0.5651960555443436,0.21134956609636824,True
7.287952153256163,0.5256991041033673,0.12669820570412949,True
7.325452153256163,0.4944028636125024,0.05962291923111129,True
7.362952153256163,0.4738899116450421,0.01565878462439141,True
7.400452153256163,0.4665837767752828,-1.1102230246251565e-16,True
7.400452153256163,0.46658377677528284,0.0,True
7.4379521532561625,0.4744217095872135,0.01679855409054576,True
7.475452153256163,0.4985424294638148,0.06849499335233844,True
7.512952153256163,0.5390624028884584,0.15533893315815583,True
7.550452153256163,0.5949907871048074,0.2752067618316876,True
7.587952153256163,0.6643081810748234,0.4237704226796746,True
7.6254521532561625,0.7441318584415285,0.5948515475280209,True
7.662952153256163,0.8309515330310313,0.7809267582641137,True
7.700452153256163,0.8613644059287062,0.8461087778959759,True
7.737952153256163,0.9333614847910096,1.0004156407704188,True
7.775452153256163,1.0019011712256372,1.1473124894099676,True
7.8129521532561625,1.0652760836414485,1.283139999002814,True
7.850452153256163,1.1224271499046907,1.405628326090036,True
